Using TensorFlow backend.
Building Model
Modeling Finished
2017-08-06 03:20:33.925231: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925258: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925264: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925269: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925274: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
('TIMESTEP', 5800, '/ EPSILON', 0.09980686000003727, '/ Loss ', 49.661903)
('TIMESTEP', 5900, '/ EPSILON', 0.09980353000003792, '/ Loss ', 54.581268)
('TIMESTEP', 6000, '/ EPSILON', 0.09980020000003856, '/ Loss ', 59.26165)
Model Saved
('TIMESTEP', 6100, '/ EPSILON', 0.0997968700000392, '/ Loss ', 55.569992)
('TIMESTEP', 6200, '/ EPSILON', 0.09979354000003984, '/ Loss ', 47.955029)
('TIMESTEP', 6300, '/ EPSILON', 0.09979021000004049, '/ Loss ', 46.705166)
('TIMESTEP', 6400, '/ EPSILON', 0.09978688000004113, '/ Loss ', 51.93858)
('TIMESTEP', 6500, '/ EPSILON', 0.09978355000004177, '/ Loss ', 54.407005)
('TIMESTEP', 6600, '/ EPSILON', 0.09978022000004241, '/ Loss ', 51.283306)
('TIMESTEP', 6700, '/ EPSILON', 0.09977689000004306, '/ Loss ', 50.804985)
('TIMESTEP', 6800, '/ EPSILON', 0.0997735600000437, '/ Loss ', 46.165302)
('TIMESTEP', 6900, '/ EPSILON', 0.09977023000004434, '/ Loss ', 45.701675)
('TIMESTEP', 7000, '/ EPSILON', 0.09976690000004498, '/ Loss ', 46.424667)
Model Saved
('TIMESTEP', 7100, '/ EPSILON', 0.09976357000004563, '/ Loss ', 34.059769)
('TIMESTEP', 7200, '/ EPSILON', 0.09976024000004627, '/ Loss ', 43.256947)
('TIMESTEP', 7300, '/ EPSILON', 0.09975691000004691, '/ Loss ', 42.662331)
('TIMESTEP', 7400, '/ EPSILON', 0.09975358000004755, '/ Loss ', 53.003006)
('TIMESTEP', 7500, '/ EPSILON', 0.0997502500000482, '/ Loss ', 50.427261)
('TIMESTEP', 7600, '/ EPSILON', 0.09974692000004884, '/ Loss ', 45.202591)
